LocalAuthority,IndicatorCode,Year,LA_IndicatorCash,LA_NumeratorCash,LA_DenominatorCash,Scotland_IndicatorCash,Scotland_NumeratorCash,Scotland_DenominatorCash,IndicatorCash_FG,NumeratorCash_FG,DenominatorCash_FG,FamilyGroup
Aberdeen City,CHN08b,2012-13,341.861,9795,551,249.8415,189238,14566,279.592325,5610.625,349.625,Least Deprived
Aberdeen City,CHN08b,2013-14,400.1121,10715,515,264.3037,194241,14133,254.53345,5873.625,345.75,Least Deprived
Aberdeen City,CHN08b,2014-15,420.56,10694,489,278.3838,200796,13871,267.95545,5769.375,343.5,Least Deprived
Aberdeen City,CHN08b,2015-16,444.6375,11260,487,291.5698,209837,13840,325.7266,6126.375,336.875,Least Deprived
Aberdeen City,CHN08b,2016-17,416.2246,11298,522,316.2404,220159,13388,317.2713375,5824,332.625,Least Deprived
Aberdeen City,CHN08b,2017-18,495.7748,12555,487,332.3833,225417,13042,364.1723625,6101.5,321,Least Deprived
Aberdeen City,CHN08b,2018-19,554.324,14153,491,343.1042,228620,12814,375.78525,6631,313.5,Least Deprived
Aberdeen City,CHN08b,2019-20,543.1929,14236,504,352.7033,235658,12849,431.8323,7173.75,308,Least Deprived
Aberdeen City,CHN08b,2020-21,612.7394,14593,458,382.1829,237866,11969,455.7059,7271.25,283.625,Least Deprived
Aberdeen City,CHN08b,2021-22,634.2535,14017,425,402.5337,236780,11312,484.6003375,7088.125,270.75,Least Deprived
Aberdeen City,CHN09,2010-11,0.9128,,,0.91,,,0.879675,,,Least Deprived
Aberdeen City,CHN09,2011-12,0.9091,,,0.9118,,,0.884075,,,Least Deprived
Aberdeen City,CHN09,2012-13,0.9092,,,0.9086,,,0.88375,,,Least Deprived
Aberdeen City,CHN09,2013-14,0.8925,,,0.906,,,0.8716375,,,Least Deprived
Aberdeen City,CHN09,2014-15,0.8907,,,0.9007,,,0.867725,,,Least Deprived
Aberdeen City,CHN09,2015-16,0.8807,,,0.9036,,,0.8748,,,Least Deprived
Aberdeen City,CHN09,2016-17,0.8847,,,0.8987,,,0.8720375,,,Least Deprived
Aberdeen City,CHN09,2017-18,0.8871,,,0.8961,,,0.8638375,,,Least Deprived
Aberdeen City,CHN09,2018-19,0.9059,,,0.8985,,,0.8870625,,,Least Deprived
Aberdeen City,CHN09,2019-20,0.892,,,0.901,,,0.8771125,,,Least Deprived
Aberdeen City,CHN09,2020-21,0.8893,,,0.903,,,0.8588875,,,Least Deprived
Aberdeen City,CHN09,2021-22,0.8854,,,0.8981,,,0.8450375,,,Least Deprived
Aberdeen City,CHN10,2010-14,0.727,,,0.824,,,0.850208333,,,Least Deprived
Aberdeen City,CHN10,2012-15,0.713333333,,,0.81,,,0.836666667,,,Least Deprived
Aberdeen City,CHN10,2013-16,0.69,,,0.78,,,0.810416667,,,Least Deprived
Aberdeen City,CHN10,2014-17,0.69,,,0.753,,,0.79375,,,Least Deprived
Aberdeen City,CHN10,2015-18,0.67,,,0.723,,,0.778333333,,,Least Deprived
Aberdeen City,CHN10,2016-19,0.670666667,,,0.718,,,0.778458333,,,Least Deprived
Aberdeen City,CHN10,2017-20,0.684,,,0.718,,,0.785125,,,Least Deprived
Aberdeen City,CHN10,2018-21,0.700666667,,,0.745,,,0.803458333,,,Least Deprived
Aberdeen City,CHN10,2019-22,0.713333333,,,0.75,,,0.798333333,,,Least Deprived
Aberdeen City,CHN11,2011-12,0.885535308,,,0.902844507,,,0.925254822,,,Least Deprived
Aberdeen City,CHN11,2012-13,0.911942099,,,0.919220865,,,0.939966607,,,Least Deprived
Aberdeen City,CHN11,2013-14,0.915987461,,,0.925567917,,,0.93909535,,,Least Deprived
Aberdeen City,CHN11,2014-15,0.906962415,,,0.931588272,,,0.944751346,,,Least Deprived
Aberdeen City,CHN11,2015-16,0.908656716,,,0.935149603,,,0.944010535,,,Least Deprived
Aberdeen City,CHN11,2016-17,0.910866911,,,0.938693957,,,0.948546386,,,Least Deprived
Aberdeen City,CHN11,2017-18,0.917585983,,,0.945565651,,,0.963204736,,,Least Deprived
Aberdeen City,CHN11,2018-19,0.937425507,,,0.950462219,,,0.960338748,,,Least Deprived
Aberdeen City,CHN11,2019-20,0.903,,,0.9334,,,0.935875,,,Least Deprived
Aberdeen City,CHN11,2020-21,0.953804348,,,0.954774761,,,0.965414353,,,Least Deprived
Aberdeen City,CHN11,2021-22,0.93816156,,,0.957311223,,,0.960820981,,,Least Deprived
Aberdeen City,CHN12a,2011-12,775.48,,,769.68,,,902.135,,,Least Deprived
Aberdeen City,CHN12a,2012-13,764.3,,,797.61,,,916.22375,,,Least Deprived
Aberdeen City,CHN12a,2013-14,782.89,,,826.62,,,944.8475,,,Least Deprived
Aberdeen City,CHN12a,2014-15,808.36,,,860.04,,,994.13,,,Least Deprived
Aberdeen City,CHN12a,2015-16,806.82,,,877.23,,,1007.06125,,,Least Deprived
Aberdeen City,CHN12a,2016-17,821.06,,,888.15,,,1023.6,,,Least Deprived
Aberdeen City,CHN12a,2017-18,841.21,,,893.97,,,1026.405,,,Least Deprived
Aberdeen City,CHN12a,2018-19,827.5,,,895.01,,,1015.6975,,,Least Deprived
Aberdeen City,CHN12a,2019-20,849.31,,,929.98,,,1015.0675,,,Least Deprived
Aberdeen City,CHN12a,2020-21,866.19,,,972.41,,,1100.56375,,,Least Deprived
Aberdeen City,CHN12a,2021-22,957.26,,,980.72,,,1100.41625,,,Least Deprived
Aberdeen City,CHN12b,2011-12,367,,,478,,,490,,,Least Deprived
Aberdeen City,CHN12b,2012-13,439,,,510,,,516.1666667,,,Least Deprived
Aberdeen City,CHN12b,2013-14,430,,,551,,,549.6666667,,,Least Deprived
Aberdeen City,CHN12b,2014-15,413,,,581,,,595.6666667,,,Least Deprived
Aberdeen City,CHN12b,2015-16,510,,,603,,,639.8333333,,,Least Deprived
Aberdeen City,CHN12b,2016-17,463,,,625,,,651.6666667,,,Least Deprived
Aberdeen City,CHN12b,2017-18,447,,,620,,,690.3333333,,,Least Deprived
Aberdeen City,CHN12b,2018-19,439,,,628,,,661.3333333,,,Least Deprived
Aberdeen City,CHN12b,2019-20,511,,,649,,,698,,,Least Deprived
Aberdeen City,CHN12b,2020-21,578,,,688,,,730,,,Least Deprived
Aberdeen City,CHN12b,2021-22,571,,,702,,,734.5,,,Least Deprived
Aberdeen City,CHN12c,2011-12,482,,,618,,,671,,,Least Deprived
Aberdeen City,CHN12c,2012-13,478,,,644,,,685.625,,,Least Deprived
Aberdeen City,CHN12c,2013-14,492,,,685,,,670,,,Least Deprived
Aberdeen City,CHN12c,2014-15,538,,,716,,,790.5714286,,,Least Deprived
Aberdeen City,CHN12c,2015-16,544,,,741,,,832.875,,,Least Deprived
Aberdeen City,CHN12c,2016-17,613,,,751,,,809.5,,,Least Deprived
Aberdeen City,CHN12c,2017-18,592,,,752,,,832,,,Least Deprived
Aberdeen City,CHN12c,2018-19,603,,,743,,,751,,,Least Deprived
Aberdeen City,CHN12c,2019-20,585,,,759,,,785.625,,,Least Deprived
Aberdeen City,CHN12c,2020-21,616,,,817,,,933.25,,,Least Deprived
Aberdeen City,CHN12c,2021-22,700,,,827,,,865.625,,,Least Deprived
Aberdeen City,CHN12d,2011-12,615,,,759,,,779.625,,,Least Deprived
Aberdeen City,CHN12d,2012-13,598,,,788,,,810.25,,,Least Deprived
Aberdeen City,CHN12d,2013-14,686,,,816,,,830.875,,,Least Deprived
Aberdeen City,CHN12d,2014-15,659,,,851,,,900.5,,,Least Deprived
Aberdeen City,CHN12d,2015-16,695,,,864,,,918.125,,,Least Deprived
Aberdeen City,CHN12d,2016-17,621,,,882,,,950,,,Least Deprived
Aberdeen City,CHN12d,2017-18,795,,,899,,,951.875,,,Least Deprived
Aberdeen City,CHN12d,2018-19,706,,,875,,,937,,,Least Deprived
Aberdeen City,CHN12d,2019-20,722,,,906,,,922.75,,,Least Deprived
Aberdeen City,CHN12d,2020-21,758,,,975,,,998.25,,,Least Deprived
Aberdeen City,CHN12d,2021-22,833,,,965,,,1007.625,,,Least Deprived
