DataType,Code,LocalAuthority,Period,Value,Numerator,Denominator
Real,SW08,West Dunbartonshire,2022-23,1441.201001,10368,7194
Real,SW08,West Dunbartonshire,2023-24,814.7067,5861,7194
Real,SW08,West Lothian,2016-17,663.7061309,7697,11597
Real,SW08,West Lothian,2017-18,1139.053501,13647,11981
Real,SW08,West Lothian,2018-19,1214.251169,15064,12406
Real,SW08,West Lothian,2019-20,934.4223854,11955,12794
Real,SW08,West Lothian,2020-21,359.5953403,4692,13048
Real,SW08,West Lothian,2021-22,426.3680854,5750,13486
Real,SW08,West Lothian,2022-23,656.6810025,8856,13486
Real,SW08,West Lothian,2023-24,552.7213406,7454,13486
Real,ECON05,Aberdeen City,2014-15,19.83225581,454,228920
Real,ECON05,Aberdeen City,2015-16,20.75103104,478,230350
Real,ECON05,Aberdeen City,2016-17,18.09954751,416,229840
Real,ECON05,Aberdeen City,2017-18,23.33916084,534,228800
Real,ECON05,Aberdeen City,2018-19,23.02689401,524,227560
Real,ECON05,Aberdeen City,2019-20,21.20960336,485,228670
Real,ECON05,Aberdeen City,2020-21,18.07386711,414,229060
Real,ECON05,Aberdeen City,2021-22,17.19210306,391,227430
Real,ECON05,Aberdeen City,2022-23,18.07149453,411,227430
Real,ECON05,Aberdeen City,2023-24,9.013762476,205,227430
Real,ECON05,Aberdeenshire,2014-15,24.02794304,626,260530
Real,ECON05,Aberdeenshire,2015-16,26.14903039,685,261960
Real,ECON05,Aberdeenshire,2016-17,22.27392349,584,262190
Real,ECON05,Aberdeenshire,2017-18,26.47058824,693,261800
Real,ECON05,Aberdeenshire,2018-19,23.94156117,626,261470
Real,ECON05,Aberdeenshire,2019-20,25.53501015,667,261210
Real,ECON05,Aberdeenshire,2020-21,22.89285988,597,260780
Real,ECON05,Aberdeenshire,2021-22,17.58727017,462,262690
Real,ECON05,Aberdeenshire,2022-23,18.04408238,474,262690
Real,ECON05,Aberdeenshire,2023-24,13.28562184,349,262690
Real,ECON05,Angus,2014-15,19.35925989,226,116740
